cheviot-hills,6.8 / 10k pop / yr
culver-city,21.6 / 10k pop / yr
del-rey,17.9 / 10k pop / yr
ladera-heights,29.2 / 10k pop / yr
marina-del-rey,22.9 / 10k pop / yr
mar-vista,8.8 / 10k pop / yr
pacific-palisades,10.6 / 10k pop / yr
palms,13.2 / 10k pop / yr
pico-robertson,17.1 / 10k pop / yr
playa-vista,15.0 / 10k pop / yr
rancho-park,17.6 / 10k pop / yr
santa-monica,19.2 / 10k pop / yr
sawtelle,14.7 / 10k pop / yr
venice,44.5 / 10k pop / yr
veterans-administration,14.7 / 10k pop / yr
west-los-angeles,11.8 / 10k pop / yr
westwood,7.5 / 10k pop / yr
