elysian-park,walk,20,34,23,40,16,13,21,20,50,42,56,69
elysian-park,transit,44,63,51,64,44,42,47,58,66,43,73,67
mission-hills,bike,37,50,42,49,47,45,49,52,42,46,62,49
mission-hills,walk,34,65,42,43,20,24,57,69,42,55,64,45
mission-hills,transit,39,36,38,37,38,36,34,34,38,33
playa-del-rey,bike,54,36,38,54,66,51,32,37,43,49,59,69
playa-del-rey,walk,10,7,3,21,64,52,21,21,68,6,77,67
playa-del-rey,transit,22,20,19,34,40,41,45,22,37,21,38
pacoima,bike,58,26,47,54,38,48,65,47,69,54,69,63
pacoima,walk,37,25,48,52,39,40,60,55,74,31,39,65
pacoima,transit,48,47,43,46,49,50,45,48
marina-del-rey,bike,46,35
marina-del-rey,walk,34,34,26,25,11,25,63,68,41,26,61,58
marina-del-rey,transit,NULL
vermont-vista,bike,66,62,80,72,79,66,61,65,68,76,67,68
vermont-vista,walk,54,67,63,57,62,56,62,70,51,61,61,68
vermont-vista,transit,71,72,58,62,58,65,70,60,72,58,60,70
rolling-hills,bike,NULL
rolling-hills,walk,2,7,2,0,1,20,3,0,23,10,8,2
rolling-hills,transit,NULL
harvard-heights,bike,54,54,54,58,54,54,58,55,57,55,56,54
harvard-heights,walk,96,94,89,78,94,96,75,88,81,88,80,89
harvard-heights,transit,65,65,64,60,65,65,62,63,59,67,63,67
lennox,bike,NULL
lennox,walk,70,72,75,68,71,75,73,72,71,74,77,74
lennox,transit,56,51,59,59
inglewood,bike,48
inglewood,walk,62,83,59,68,45,74,73,70,81,69,70,24
inglewood,transit,52,55,55,46,55,42,43,56,54,53,49,56
montecito-heights,bike,19,39,45,21,18,63,16,60,17,22,21,5
montecito-heights,walk,42,30,56,51,9,58,45,67,34,45,20,4
montecito-heights,transit,53,35,54,53,23,49,45,41,45,45,42,55
sherman-oaks,bike,1,21,53,70,59,28,4,55,49,74,50,2
sherman-oaks,walk,0,56,65,48,69,49,4,66,68,61,81,6
sherman-oaks,transit,0,40,49,50,39,41,0,49,52,47,53,0
east-hollywood,bike,64,53,59,67,61,60,65,59,67,65,53,64
east-hollywood,walk,85,83,70,88,83,88,89,88,89,89,80,84
east-hollywood,transit,69,64,67,64,67,59,62,60,70,64,68,68
pico-union,bike,55,60,57,54,63,59,54,66,56,60,57,57
pico-union,walk,65,91,85,91,88,94,84,82,80,91,92,90
pico-union,transit,67,90,69,69,66,80,69,88,63,72,76,73
hollywood-hills-west,bike,3,29,5,2,4,7,3,8,4,30,2,16
hollywood-hills-west,walk,8,61,15,3,19,21,12,16,9,60,3,42
hollywood-hills-west,transit,31,48,25,21,24,25,25,25,13,52,29,49
highland-park,bike,68,58,68,56,44,17,61,17,63,53,62,64
highland-park,walk,70,79,88,92,77,29,89,39,85,82,69,85
highland-park,transit,40,38,54,59,42,43,57,42,42,58,61,37
mount-washington,bike,34,7,13,22,25,11,19,10,32,12,40,9
mount-washington,walk,66,22,44,45,45,40,39,27,63,39,70,20
mount-washington,transit,59,24,48,45,51,49,56,35,47,57,52,36
redondo-beach,bike,NULL
redondo-beach,walk,79,73,81,71,71,59,72,58,79,80,73,75
redondo-beach,transit,NULL
topanga,bike,NULL
topanga,walk,0,3,0,1,3,1,14,0,0,0,0,11
topanga,transit,NULL
baldwin-hillscrenshaw,bike,69,13,49,14,60,48,8,53,8,59,42,55
baldwin-hillscrenshaw,walk,74,25,52,20,63,59,31,60,19,72,70,59
baldwin-hillscrenshaw,transit,60,39,52,44,64,58,40,61,44,60,53,61
brentwood,bike,0,44,1,0,6,1,64,1,0,0,5,44
brentwood,walk,0,32,1,0,7,0,80,1,0,0,6,52
brentwood,transit,0,43,25,32,0,0,59,0,0,0,0,46
echo-park,bike,59,28,29,53,60,63,54,51,29,44,52,49
echo-park,walk,87,65,61,81,87,89,87,85,61,78,85,85
echo-park,transit,60,38,41,61,61,62,59,66,41,55,68,70
glendale,bike,3,54,15
glendale,walk,4,72,59,4,76,47,14,5,82,94,35,41
glendale,transit,20,29,47,23,58,35,25,20,46,58,32,44
vermont-square,bike,58,57,70,70,59,53,58,56,57,69,59,54
vermont-square,walk,72,76,68,67,70,69,75,74,73,85,76,71
vermont-square,transit,58,56,63,64,60,56,58,57,52,73,56,53
universal-city,bike,19,25,26,25,18
universal-city,walk,49,27,29,37,54,59,29,46,34,26,44,37
universal-city,transit,54,42,34,45,31,31,37,46,49
west-adams,bike,58,53,61,60,60,64,65,66,66,62,48,56
west-adams,walk,66,74,74,77,71,71,70,79,75,70,54,79
west-adams,transit,63,66,62,62,62,63,66,62,63,63,65,53
chatsworth,bike,4,10,55,54,1,16,1,44,3,11,34,19
chatsworth,walk,3,2,48,52,3,26,2,48,7,10,29,14
chatsworth,transit,8,0,34,38,0,0,21,22
watts,bike,54,53,57,53,59,63,49,61,65,56,71,57
watts,walk,65,64,67,61,72,69,59,72,64,69,70,69
watts,transit,63,55,64,56,57,61,50,60,56,62,60,62
rancho-palos-verdes,bike,39,10
rancho-palos-verdes,walk,5,0,18,57,41,16,69,48,23,1,7,19
rancho-palos-verdes,transit,NULL
el-segundo,bike,52
el-segundo,walk,57,90,78,73,38,50,49,37,31,77,71,58
el-segundo,transit,50
el-sereno,bike,66,58,34,32,22,44,64,41,55,28,33,7
el-sereno,walk,79,68,52,61,31,51,66,67,60,54,56,3
el-sereno,transit,41,40,57,61,46,40,37,41,37,37,37,29
view-park-windsor-hills,bike,44,52,40
view-park-windsor-hills,walk,39,82,44,73,41,60,90,89,58,65,43,20
view-park-windsor-hills,transit,47,47,55,46,38
burbank,bike,3
burbank,walk,68,5,76,60,43,69,9,0,68,72,5,78
burbank,transit,NULL
lomita,bike,63,57
lomita,walk,72,81,77,78,75,77,58,77,61,67,74,80
lomita,transit,NULL
vermont-knolls,bike,62,56,66,69,70,67,59,57,64,60,62,75
vermont-knolls,walk,56,60,69,67,73,64,58,58,73,77,65,75
vermont-knolls,transit,65,57,64,62,56,64,56,56,56,66,56,55
hansen-dam,bike,35,31,64,38,40,39,52,40,34,55,23,55
hansen-dam,walk,19,4,48,10,10,9,38,3,18,15,6,2
hansen-dam,transit,30,23,43,28,28,29,41,27,36
unincorporated-santa-monica-mountains,bike,NULL
unincorporated-santa-monica-mountains,walk,0,3,0,0,0,0,0,0,0,5,0,8
unincorporated-santa-monica-mountains,transit,NULL
university-park,bike,76,98,83,86,82,82,78,92,98,92,80,87
university-park,walk,88,92,89,91,89,85,81,83,87,83,73,87
university-park,transit,80,81,89,91,76,75,75,68,79,68,72,68
van-nuys,bike,71,51,31,35,53,46,45,53,53,51,64,47
van-nuys,walk,61,54,21,23,74,53,48,70,69,53,78,38
van-nuys,transit,55,36,35,50,49,42,45,50,39,55,38
eagle-rock,bike,32,27,27,22,61,29,54,14,34,21,47,54
eagle-rock,walk,59,62,58,55,76,58,79,33,67,41,68,73
eagle-rock,transit,47,51,48,39,48,39,41,45,53,47,52
sawtelle,bike,67,76,58,63,72,56,72,78,70,62,69,67
sawtelle,walk,86,88,70,65,86,67,82,85,74,76,78,91
sawtelle,transit,54,66,45,50,66,43,62,64,51,53,62,55
westlake,bike,55,55,57,56,55,54,51,54,67,63,53,61
westlake,walk,83,86,93,72,87,72,81,92,95,83,73,89
westlake,transit,64,66,97,67,66,66,84,98,83,77,67,80
rancho-park,bike,57,57,54,58,57,56,57,59,60,57,56,60
rancho-park,walk,85,77,63,86,68,68,77,89,75,71,70,79
rancho-park,transit,52,48,49,52,47,47,52,53,42,48,49,42
pacific-palisades,bike,44,4,14,2,0,1,1,0,10,1,1,0
pacific-palisades,walk,40,0,53,12,0,0,1,0,38,3,11,1
pacific-palisades,transit,42,43,0,0,0,0,44,0,0,0
florence,bike,65,58,59,63,64,56,64,63,59,60,57,52
florence,walk,64,71,77,62,73,74,68,69,77,72,71,72
florence,transit,59,57,68,58,63,58,60,63,68,68,58,60
canoga-park,bike,75,64,76,75,61,62,55,64,76,70,77,73
canoga-park,walk,82,49,67,74,74,70,59,45,43,80,50,55
canoga-park,transit,54,50,49,58,56,54,41,50,48,53,47,48
palos-verdes-estates,bike,NULL
palos-verdes-estates,walk,3,15,6,1,14,25,9,6,5,23,11,11
palos-verdes-estates,transit,NULL
jefferson-park,bike,54,52,59,58,59,53,56,53,49,60,59,51
jefferson-park,walk,74,77,73,77,73,69,75,76,51,69,77,58
jefferson-park,transit,54,54,61,61,61,53,53,57,52,53,54,52
